Price,Score,FAR
275000,36.482984,5
64643,46.079136,5
56250,52.611562,6
85500,53.421512,6
21872,46.677795,5
250000,36.58863,5
203750,43.332347,7
300000,42.20546,7
162500,33.665765,5
130000,50.216926,7
375000,41.184218,7
300000,46.360858,7
61176,41.289864,5
32142,39.24738,7
120000,42.698473,5
92909,39.581925,5
299760,42.258283,5
198000,43.825361,6
140000,48.579417,7
412371,39.810824,7
82500,37.469011,5
185000,49.635874,6
42254,47.787075,6
49628,53.351082,2
430108,42.628043,5
114358,35.778679,7
373894,43.402778,5
250000,35.91954,5
29221,42.997803,5
239437,50.709939,5
120000,42.557612,7
47500,40.162976,5
49296,42.540005,7
100000,43.068233,4
278481,25.636691,5
7500,35.778679,5
165000,47.610998,5
65085,40.990534,7
55000,56.379592,5
36014,48.051189,5
195652,47.910328,7
17500,50.269749,2
100000,43.068233,7
37756,47.1532,5
20000,42.892157,7
50148,42.716081,2
160000,40.145368,5
53125,58.809443,2
112500,52.734815,2
46314,45.339616,2
112525,52.083333,6
30000,28.806063,6
75000,46.448896,6
29922,42.082206,5
32225,46.871478,5
27538,49.054823,5
100755,52.646777,7
17995,41.131395,7
30000,41.060965,7
25000,37.222504,7
135000,38.648721,7
13750,35.268058,2
44873,41.360294,7
35799,47.170808,5
40000,40.79685,6
30000,44.318374,6
11250,36.887959,2
8757,33.489689,2
36516,57.330403,6
26978,38.525468,5
