Price,Score,FAR
15500,36.482984,5
20000,46.079136,5
8900,52.611562,6
14000,53.421512,6
3700,46.677795,5
10000,36.58863,5
15000,43.332347,7
7600,42.20546,7
5000,33.665765,5
13000,50.216926,7
33000,41.184218,7
5500,46.360858,7
20000,41.289864,5
5000,39.24738,7
20000,42.698473,5
12500,39.581925,5
2150,42.258283,5
4100,43.825361,6
17000,48.579417,7
13000,39.810824,7
2150,37.469011,5
25000,49.635874,6
7600,47.787075,6
17000,53.351082,2
13000,42.628043,5
2500,35.778679,7
20000,43.402778,5
1550,35.91954,5
6800,42.997803,5
11000,50.709939,5
20000,42.557612,7
8900,40.162976,5
1200,42.540005,7
5000,43.068233,4
3100,25.636691,5
700,35.778679,5
8500,47.610998,5
4100,40.990534,7
14000,56.379592,5
6400,48.051189,5
20000,47.910328,7
23000,50.269749,2
4350,43.068233,7
6100,47.1532,5
2500,42.892157,7
12000,42.716081,2
25000,40.145368,5
22000,58.809443,2
17000,52.734815,2
8900,45.339616,2
17000,52.083333,6
8300,28.806063,6
8800,46.448896,6
3500,42.082206,5
7600,46.871478,5
4900,49.054823,5
12000,52.646777,7
2500,41.131395,7
8100,41.060965,7
2200,37.222504,7
17000,38.648721,7
2900,35.268058,2
6400,41.360294,7
12000,47.170808,5
8300,40.79685,6
3600,44.318374,6
1800,36.887959,2
1100,33.489689,2
17000,57.330403,6
4350,38.525468,5
